model,skew,girderName,L,D,w_oh,ts,S,Nb,Kg,n_bm1,n_bm2,n_bm3,n_bm4,n_r1,n_r2,n_r3,n_r4,sum_RY,d-G1,d-G2,d-G3,d-G4
Tx28-L_42-Nb_7-S_90-O_35-ts_85,0,Tx28,42,28,3.5,8.5,9,7,555508.7064,0.7942353552525769,0.154699263,0.000270915,-3.88E-05,1.1520137648800306,-0.131986247,-0.007733249,-0.012229832,3.269764400215536e-05,0.044157352,0.00717808,-2.41E-35,-3.74E-35
Tx28-L_42-Nb_7-S_90-O_35-ts_100,0,Tx28,42,28,3.5,10,9,7,588747.3095,0.764141251,0.18135963482600756,0.001803865,1.8102206160227392e-05,1.1553811383919328,-0.127139486,-0.009497795,-0.017307194,3.63855025895532e-05,0.038299903,0.007746529,2.998349191329908e-05,-5.29E-35
Tx28-L_42-Nb_7-S_120-O_15-ts_85,0,Tx28,42,28,1.5,8.5,12,7,555508.7064,0.7542043650787617,0.1840113378683335,0.000316908,-6.21E-05,0.9741504836301731,0.048824509,-0.019622809,-0.003271936,3.0645277298901874e-05,0.044445544,0.008031152,-6.02E-35,-1.00E-35
Tx28-L_42-Nb_7-S_120-O_15-ts_100,0,Tx28,42,28,1.5,10,12,7,588747.3095,0.7316298658346376,0.20208732520769923,0.000514504,-3.82E-05,0.973816406,0.053508759998097066,-0.021017426,-0.005964118,3.594228245162867e-05,0.038743943,0.008096092,-6.45E-35,-1.82E-35
Tx28-L_42-Nb_7-S_120-O_21-ts_85,0,Tx28,42,28,2.1666666666666665,8.5,12,7,555508.7064,0.79198819,0.14939875047229167,0.000202269,-5.99E-05,1.0251361607134655,-0.007784379,-0.013972527,-0.003478768,2.981587864070434e-05,0.04497188,0.006351428,-4.30E-35,-1.07E-35
Tx28-L_42-Nb_7-S_120-O_21-ts_100,0,Tx28,42,28,2.1666666666666665,10,12,7,588747.3095,0.7680239984876697,0.1708805744518663,0.000380031,-4.37E-05,1.0269825148801308,-0.004504472,-0.016295612,-0.006147707,3.548332669822685e-05,0.039218906,0.006723769,-5.00E-35,-1.88E-35
Tx28-L_42-Nb_7-S_120-O_28-ts_85,0,Tx28,42,28,2.8333333333333335,8.5,12,7,555508.7064,0.8292886432344083,0.11516596986007414,8.849737811784303e-05,-5.77E-05,1.0760843563979485,-0.064257661,-0.008430642,-0.003672195,3.6487188118883296e-05,0.045624468,0.004691677,-2.60E-35,-1.12E-35
Tx28-L_42-Nb_7-S_120-O_28-ts_100,0,Tx28,42,28,2.8333333333333335,10,12,7,588747.3095,0.8040800264543831,0.1399514715607346,0.000246751,-4.94E-05,1.080024460564612,-0.06218825,-0.011799549,-0.006306728,3.252538657960713e-05,0.03982494,0.005366083,-3.63E-35,-1.93E-35
Tx28-L_42-Nb_7-S_120-O_35-ts_85,0,Tx28,42,28,3.5,8.5,12,7,555508.7064,0.8657672902487404,0.081728842,-2.38E-05,-5.55E-05,1.1268601190467176,-0.120517799,-0.002920147,-0.003872806,3.0426707041897316e-05,0.046376996,0.003067554,-9.19E-36,-1.18E-35
Tx28-L_42-Nb_7-S_120-O_35-ts_100,0,Tx28,42,28,3.5,10,12,7,588747.3095,0.8392931783817926,0.10980596891525607,0.000115361,-5.51E-05,1.132889695,-0.119640613,-0.007342648,-0.006476817,3.491660571341981e-05,0.040521052,0.004039876,-2.27E-35,-1.98E-35
Tx28-L_56-Nb_7-S_60-O_15-ts_85,0,Tx28,56,28,1.5,8.5,6,7,555508.7064,0.45884608843500707,0.30018808460860336,0.14049067283152025,0.051801246279720464,0.8718632114948383,0.11150050571977688,0.050857422,-0.006045534,4.409785559289503e-05,0.096416265,0.054376427,0.025056936,0.009042025
Tx28-L_56-Nb_7-S_60-O_15-ts_100,0,Tx28,56,28,1.5,10,6,7,588747.3095,0.4402412308669948,0.2987264030609855,0.1486240699403573,0.059335605335836886,0.8697197265618042,0.11273326764778928,0.055781158,-0.002095551,4.3212845817208745e-05,0.083022341,0.048707303,0.023910291,0.009459568
Tx28-L_56-Nb_7-S_60-O_20-ts_85,0,Tx28,56,28,2,8.5,6,7,555508.7064,0.4845030293363471,0.29434999468513867,0.13204311490210524,0.046463694462122694,0.9318060825885403,0.059608564,0.049311149,-0.011561172,4.594416905945309e-05,0.097730912,0.053090706,0.023591144,0.008116913
Tx28-L_56-Nb_7-S_60-O_20-ts_100,0,Tx28,56,28,2,10,6,7,588747.3095,0.4640046237241186,0.294244765,0.14123440157301625,0.054119041,0.9296286969858634,0.061764252,0.053890651,-0.007494426,4.3182328255397806e-05,0.083998173,0.047792908,0.022752713,0.008655815
Tx28-L_56-Nb_7-S_60-O_25-ts_85,0,Tx28,56,28,2.5,8.5,6,7,555508.7064,0.5098198873295241,0.2885939360116739,0.12356910342252019,0.041072661,0.990769671,0.009505223,0.047064069,-0.017111292,4.5288041143010105e-05,0.099216409,0.051847111,0.022127336,0.00718374
Tx28-L_56-Nb_7-S_60-O_25-ts_100,0,Tx28,56,28,2.5,10,6,7,588747.3095,0.48739981930233117,0.2899066220235776,0.13381822650924668,0.048824604060335085,0.9880605468742095,0.01338477,0.051108307,-0.012973046,4.144282628715246e-05,0.085158564,0.046929002,0.021597922,0.00784066
Tx28-L_56-Nb_7-S_60-O_30-ts_85,0,Tx28,56,28,3,8.5,6,7,555508.7064,0.5343732461730418,0.28302872555249464,0.11524061968528196,0.035758466863279215,1.0496480189723747,-0.040534947,0.044830837,-0.022648998,4.9224808719827706e-05,0.1007644161581993,0.050651647,0.020693744,0.006265333
Tx28-L_56-Nb_7-S_60-O_30-ts_100,0,Tx28,56,28,3,10,6,7,588747.3095,0.5099622130097962,0.2857743144130367,0.12655330569717768,0.043606405,1.0463154296866628,-0.034770168,0.048282767159559585,-0.01843869,4.595942787233298e-05,0.086385831,0.046111334,0.020470662,0.00703823
Tx28-L_56-Nb_7-S_90-O_15-ts_85,0,Tx28,56,28,1.5,8.5,9,7,555508.7064,0.5799881483838898,0.2936000212582685,0.076879677,0.005302318,0.9072712751108813,0.11355453055236452,0.006431238,-0.015892288,5.199523261012473e-05,0.1114670187234878,0.045968749,0.011536934,0.0003447
Tx28-L_56-Nb_7-S_90-O_15-ts_100,0,Tx28,56,28,1.5,10,9,7,588747.3095,0.5573270620743841,0.2998234747021411,0.089259912,0.010675247296175559,0.9071036551332029,0.11388261195582407,0.013017888750338357,-0.017139433,4.929251960561487e-05,0.096063182,0.042396337,0.012312434,0.001199462
Tx28-L_56-Nb_7-S_90-O_21-ts_85,0,Tx28,56,28,2.1666666666666665,8.5,9,7,555508.7064,0.6147071641151545,0.27722727997426805,0.065170699,0.001627206,0.9666729910706553,0.058169848,0.004276715,-0.018646535,4.7239258783804416e-05,0.1133105456829071,0.04315874,0.009806696,-7.65E-35
Tx28-L_56-Nb_7-S_90-O_21-ts_100,0,Tx28,56,28,2.1666666666666665,10,9,7,588747.3095,0.5892933142002088,0.286800197,0.078016017,0.00640524,0.9676681082581544,0.058044128417922315,0.011048957824698192,-0.020666486,4.127140334020396e-05,0.097499602,0.040342197,0.010824603,0.000610428
Tx28-L_56-Nb_7-S_90-O_28-ts_85,0,Tx28,56,28,2.8333333333333335,8.5,9,7,555508.7064,0.6489178358838346,0.26094013073958716,0.053502421,0.000189952,1.025723772320608,0.003557744,0.00170559,-0.021394821,4.3093636527657964e-05,0.115386814,0.04039555,0.0080833,-8.77E-35
Tx28-L_56-Nb_7-S_90-O_28-ts_100,0,Tx28,56,28,2.8333333333333335,10,9,7,588747.3095,0.6208020301865782,0.2738605176443387,0.066759679,0.002088412,1.0275511300214994,0.003599413,0.008405903,-0.024201684,4.4564202319463675e-05,0.099190176,0.038334172,0.009334507,1.3882167877454776e-05
